제품 이름,식품 분류
마이노멀 블루베리잼,잼류
마이노멀 딸기잼,잼류
캔딜라스 스테비아 오렌지 마멀레이드잼,잼류
캔딜라스 스테비아 딸기잼,잼류
캔딜라스 스테비아 코르넬리안 체리잼,잼류
캔딜라스 스테비아 살구잼,잼류
캔딜라스 스테비아 산 속 과일잼,잼류
캔딜라스 스테비아 석류잼,잼류
굿굿 스위트잼 위드 스테비아 스트로베리,잼류
굿굿 스위트잼 위드 스테비아 블루베리,잼류
헬리오스 무가당 포레스트잼,잼류
헬리오스 무가당 엑스트라 블루베리잼,잼류
헬리오스 무가당 엑스트라 복숭아잼,잼류
헬리오스 무가당 엑스트라 망고잼,잼류
복음자리 잼다운 잼 딸기,잼류
복음자리 잼다운 잼 블루베리&블랙커런트,잼류
잇츠잼 알룰로스 저칼로리 블루베리잼,잼류
잇츠잼 알룰로스 저칼로리 사과잼,잼류
잇츠잼 알룰로스 저칼로리 무화과잼,잼류
잇츠잼 알룰로스 저칼로리 복숭아잼,잼류
무화당 블루베리잼,잼류
무화당 초코잼,잼류
마이노멀 케찹,조미식품류
마이노멀 마요네즈,조미식품류
마이노멀 머스타드,조미식품류
VIVID KITCHEN 저칼로리양념치킨소스,조미식품류
VIVID KITCHEN 저칼로리데리야끼소스,조미식품류
VIVID KITCHEN 저칼로리스위트칠리소스,조미식품류
VIVID KITCHEN 저칼로리바베큐소스,조미식품류
VIVID KITCHEN 저칼로리토타토케첩,조미식품류
VIVID KITCHEN 저칼로리머스타드소스,조미식품류
VIVID KITCHEN 저당 굴소스,조미식품류
VIVID KITCHEN 저당마라소스,조미식품류
아임키토 저당 고추장 소스,조미식품류
프레쉬홈 저칼로리 소스 바베큐,조미식품류
프레쉬홈 저칼로리 소스 머스타드,조미식품류
프레쉬홈 저칼로리 소스 스위트칠리,조미식품류
오뚜기 오리엔탈 저칼로리 드레싱,조미식품류
오뚜기 그린애플발사믹 저칼로리 드레싱,조미식품류
오뚜기 키위 저칼로리 드레싱,조미식품류
탐스제로 사과 키위 355ml,음료류
탐스제로 레몬 355ml,음료류
탐스제로 파인애플 355ml,음료류
스프라이트 제로 355ml,음료류
나랑드사이다,음료류
몬스터 제로슈거,음료류
광동 비타 500 제로,음료류
슈가로로 스파클링 샤인머스켓,음료류
슈가로로 스파클링 사과맛,음료류
슈가로로 스파클링 레몬사이다,음료류
티즐 제로 자몽블랙티,음료류
동원 보성홍차 아이스티 제로 복숭아,음료류
동원 보성홍차 아이스티 제로 레몬,음료류
밀키스 제로 ,음료류
아임키토 저당 고추장 소스,조미식품류
무화당 고추장,조미식품류
무화당 초고추장 소스,조미식품류
무화당만능고추장,조미식품류
초코리얼씨리얼,농산가공식품류
말차리얼씨리얼,농산가공식품류
프로틴바 요거치즈,"과자류, 빵류 또는 떡류"
제로당 바닐라크림롤,"과자류, 빵류 또는 떡류"
제로당 초코크림롤,"과자류, 빵류 또는 떡류"
당을 줄인 맛짱,"과자류, 빵류 또는 떡류"
당을 줄인 트위스트과자,"과자류, 빵류 또는 떡류"
당을 줄인 왕소라형과자,"과자류, 빵류 또는 떡류"
당을 줄인 고구마형과자,"과자류, 빵류 또는 떡류"
요거트비스켓 (저지방요거트4% 함유),"과자류, 빵류 또는 떡류"
라칸토캔디(페퍼민트맛),"과자류, 빵류 또는 떡류"
라칸토캔디(커피우유맛),"과자류, 빵류 또는 떡류"
라칸토캔디(블루베리맛),"과자류, 빵류 또는 떡류"
라칸토캔디(딸기우유맛),"과자류, 빵류 또는 떡류"
라칸토캔디(요거트맛),"과자류, 빵류 또는 떡류"
제로 초콜릿 스위트,"코코아 가공품, 초콜릿류"
