제품 번호,제품 이름,제조사,식품 분류,총 열량,총 당류,감미료 정보,g당
1,마이노멀 블루베리잼,(주)마이노멀컴퍼니,잼류,30,4.8,알룰로스,100
2,마이노멀 딸기잼,(주)마이노멀컴퍼니,잼류,36,3,알룰로스,100
3,캔딜라스 스테비아 오렌지 마멀레이드잼,S.KANDYLAS S.A,잼류,178,4,"말티톨, 스테비올배당체",100
4,캔딜라스 스테비아 딸기잼,S.KANDYLAS S.A,잼류,162,2,"말티톨, 스테비올배당체",100
5,캔딜라스 스테비아 코르넬리안 체리잼,S.KANDYLAS S.A,잼류,175,2,"말티톨, 스테비올배당체",100
6,캔딜라스 스테비아 살구잼,S.KANDYLAS S.A,잼류,167,4,"말티톨, 스테비올배당체",100
7,캔딜라스 스테비아 산 속 과일잼,S.KANDYLAS S.A,잼류,166,2,"말티톨, 스테비올배당체",100
8,캔딜라스 스테비아 석류잼,S.KANDYLAS S.A,잼류,165,4,"말티톨, 스테비올배당체",100
9,굿굿 스위트잼 위드 스테비아 스트로베리,GREUTS CONSERVENFABRIEK B.V.,잼류,21.1,4.1,당알콜(에리스리톨) 19.7g,100
10,굿굿 스위트잼 위드 스테비아 블루베리,GREUTS CONSERVENFABRIEK B.V.,잼류,23.7,4.5,당알콜(에리스리톨) 17.1g,100
11,헬리오스 무가당 포레스트잼,"Dulces y Conservas Helios, S.A.",잼류,57,4,"말티톨, 수크랄로스",100
12,헬리오스 무가당 엑스트라 블루베리잼,"Dulces y Conservas Helios, S.A.",잼류,150,4,"말티톨, 수크랄로스",100
13,헬리오스 무가당 엑스트라 복숭아잼,"Dulces y Conservas Helios, S.A.",잼류,58.2,5,"말티톨, 수크랄로스",100
14,헬리오스 무가당 엑스트라 망고잼,"Dulces y Conservas Helios, S.A.",잼류,76,7,"말티톨, 수크랄로스",100
15,복음자리 잼다운 잼 딸기,대상에프앤비(주),잼류,29,5,"알룰로스(23.5g), 에리스리톨 (17.2g)",100
16,복음자리 잼다운 잼 블루베리&블랙커런트,대상에프앤비(주),잼류,36.5,8,"알룰로스(20.7g), 에리스리톨 (17.5g)",100
17,잇츠잼 알룰로스 저칼로리 블루베리잼,주식회사 푸드홀릭,잼류,15,3,알룰로스(45.3g),100
18,잇츠잼 알룰로스 저칼로리 사과잼,주식회사 푸드홀릭,잼류,30,3,알룰로스(47g),100
19,잇츠잼 알룰로스 저칼로리 무화과잼,주식회사 푸드홀릭,잼류,25,10,알룰로스(37g),100
20,잇츠잼 알룰로스 저칼로리 복숭아잼,주식회사 푸드홀릭,잼류,25,21,알룰로스(45.3g),100
21,무화당 블루베리잼,농업회사법인 도담 유한회사,잼류,23.2,4.6,알룰로스(53g),100
22,무화당 초코잼,농업회사법인 도담 유한회사,잼류,468.3,3.2,"알룰로스(18.4g), 에리스리톨(15g)",100
23,마이노멀 케찹,(주)동방푸드마스타,조미식품류,37,5,알룰로스(13g),100
